School Name,Latitude,Longitude,Curriculum,Grades,Year Established in Dubai,2023/24 Enrollments,Average Tuition,Max Tuition
Dubai English Speaking School,25.238244,55.317725,UK,FS1-Y6,1973,1017,50038.75,51269
Dubai Gem Private School,25.235942,55.316167,UK,FS1-Y13,1983,1058,17411,27119
Dubai Heights Academy,25.0788002,55.22507858,UK - UK/IB,FS1-Y9,2017,321,64733.19231,88658
Dubai International Academy Albarsha,25.11421967,55.20737839,International Baccalaureate,Pre Primary-G12,2018,1631,73060.66667,94098
Dubai International Academy L.L.C,25.077917,55.179,International Baccalaureate,KG1-G13,2005,2760,61022.6,77866
Dubai International Private School,25.248367,55.341864,American,KG1-G12,1985,1024,17011.64286,23086
Dubai International Private School - Br,25.1686916,55.264079,American,KG1-G12,1999,1816,18057.14286,24504
Dubai Modern Education School,25.238822,55.427392,Ministry of Education - American,KG1-G12,1996,1983,13739.71429,16167
Dubai National School,25.10691071,55.192436,American,Pre Primary-G12,1988,2427,29204.06667,38754
Dubai National School (Branch),25.278803,55.368489,American,Pre Primary-G12,2000,1159,28709.93333,37944
Dubai Scholars Private School,25.280228,55.364739,UK,FS1-Y13,1994,2327,20064.53333,31820
DUBAI SCHOOLS CORPORATION AL KHAWANEEJ L.L.C,25.22179282,55.42576343,American,KG1-G6,2021,879,36429.44444,43800
Dubai Schools Corporation L.L.C Albarsha,25.08221439,55.217592,American,KG1-G6,2021,1232,36429.44444,43800
Dubai Schools Corporation Nad AlShiba L.L.C.,25.13829994,55.36859894,American,KG1-G6,2022,464,36367.77778,43800
Dunecrest American School L.L.C,25.09076,55.306367,American,Pre Primary-G12,2018,674,81583.33333,94053
Durham School L.L.C,24.99785995,55.15504837,UK,FS1-Y9,2022,275,76000,99000
Dwight School L.L.C,25.03480989,55.22822952,International Baccalaureate,Pre Primary-G12,2018,563,89578.66667,108212
Elite English School,25.288842,55.340475,Indian,Pre Primary-G12,1993,2144,6146.857143,10451
Emirates International Private School (BR),25.064758,55.156161,International Baccalaureate (13Y),FS1-Y13,2006,1878,52548.75,84002
Emirates International Private School L.L.C,25.1357457,55.2100999,UK/IB,FS1-Y13,1991,2274,55244.66667,79992
Emirates National Schools - Dubai Branch,25.22757541,55.53289235,International Baccalaureate,Pre-primary-G7,2021,474,37000,45000
English Language Private School,25.24135256,55.31815925,UK,FS2-Y13,1982,1964,7378.714286,11615
Fairgreen International School L.L.C,25.02680016,55.27711868,International Baccalaureate,Pre Primary-G12,2018,1014,76898.66667,90200
GEMS Al Khaleej International School - Dubai Branch,25.1901989,55.42930984,American,Pre Primary-G12,1992,2665,42540.2,56466
GEMS Albarsha National School - Dubai Branch,25.07948112,55.23039246,UK,FS1-Y13,2017,992,58122.93333,65520
GEMS Dubai American Academy - Dubai Branch,25.10457875,55.1810667,American,KG1-G12,1997,3066,87373.28571,91158
GEMS First Point School L.L.C,25.0885582,55.37654877,UK,FS1-Y13,2014,1884,58909.93333,74017
GEMS Founders School - Dubai Branch,25.0799005,55.227909,UK,FS1-Y13,2016,6129,31069.73333,36272
GEMS Founders School DS DWC-LLC,24.94584159,55.20832349,UK,FS1-Y8,2024,,43610,47600
GEMS Founders School Mizhar,25.24337006,55.4512291,UK,FS1-Y13,2018,4001,31210.2,36987
GEMS International School Al Khail L.L.C,25.122517,55.255383,International Baccalaureate,Pre Primary-G12,2013,2150,64516.8,77663
GEMS Jumeira Primary School - Dubai Branch,25.175947,55.238661,UK,FS1-Y6,1994,1466,53028.75,54435
GEMS Legacy School - Dubai Branch,25.24796486,55.33935165,Indian,KG1-G8,1982,6325,12286.81818,18468
GEMS Metropole School - Dubai Branch,25.042225,55.244515,UK,FS1-Y13,2014,3928,46302,50015
"GEMS Metropole School, Al Waha",25.0340821,55.28196792,UK,FS1 - Y8,2023,725,45454.54545,50000
GEMS Modern Academy,25.1536026,55.37615204,Indian/IB,Pre Primary - G12,1986,3840,46337.86667,63792
GEMS New Millennium School L.L.C,25.122056,55.253912,Indian - UK,Pre Primary-G12,2013,2476,28512.26316,32787
GEMS Our Own English High School,25.193408,55.42551,Indian,KG1-G12,1972,10399,10920.87857,16187
GEMS Our Own Indian School,25.171781,55.260647,Indian,KG1-G12,1991,3666,9531.928571,14359
GEMS Royal Dubai School - Dubai Branch,25.23730278,55.43858719,UK,Pre Primary-Y6,2005,829,51271.55556,75000
GEMS Wellington Academy Al Khail L.L.C,25.124333,55.254867,UK,FS1-Y13,2013,2532,88109.4,107279
GEMS Wellington Academy -Fze,25.118243,55.388303,UK/IB,FS1-Y13,2011,4202,63952.66667,89001
GEMS Wellington International School - Dubai Branch,25.112042,55.183447,UK/IB,FS1-Y13,2005,2903,72088.6,101025
GEMS Winchester School,25.08046341,55.33153915,UK,FS1-Y13,2011,4123,27993.73333,37521
GEMS World Academy,25.082225,55.219567,International Baccalaureate,Pre Primary-G12,2008,2026,95674.06667,120608
German International School Dubai,25.1079,55.4014,German,Pre Primary-G12,2004,923,54724.73333,73227
Glendale International School LLC,25.23497881,55.31599002,UK,FS1 - Y6,2023,118,48933.33333,55200
Global Indian International School L.L.C,25.17348413,55.25854148,Indian,Pre Primary-G12,2017,1021,31333.66667,41029
Grammar School,25.235469,55.351983,UK,FS2-Y13,1974,1319,5794.266667,6878
Greenfield International School,24.98301888,55.18383789,International Baccalaureate,Pre Primary-G12,2007,1557,63351.73333,87144
Greenwood International School,25.244239,55.4183,American,KG1-G12,1992,1262,25282.28571,30151
Gulf Indian High School,25.23705673,55.34976578,Indian,KG1-G12,1979,2373,6279.571429,9217
Gulf Model School,25.27805519,55.40703964,Indian,KG1-G12,1982,4214,5109.285714,7046
H.H.Shaikh Rashid Al Maktoum Pakistani School,25.28512764,55.36993408,Pakistani,KG1-G12,1995,1357,5164.285714,8250
Hampton Heights International School,25.24528298,55.39435185,UK,FS1 - Y6,2024,,21962.5,26000
Hartland International School - FZ,25.17733955,55.30524063,UK/IB,FS1-Y13,2015,1619,66925.47059,82429
Himayah Kindergarten for Education - Karama,25.25142559,55.30515097,Ministry of Education,KG1-KG2,2000,198,0,0
Himayah School For Education Boys - Diera (Abu Hail),25.28344828,55.34351984,Ministry of Education,G1-G12,2018,1031,0,0
Himayah School For Education Girls - Al Karama,25.24817385,55.30641913,Ministry of Education,G1-G12,2018,1057,0,0
Horizon International School L.L.C,25.13282585,55.20487976,UK,FS1-Y13,2008,1393,54782.2,71445
Horizons English School L.L.C,25.189889,55.250028,UK,FS1-Y6,1989,1313,40026,43108
Icademy Middle East Fz.Llc,25.101772,55.160615,American,KG2-G12,2008,877,21759.46154,27129
Ignite School L.L.C,25.19057083,55.41072845,American,Pre Primary-G9,2018,1003,36000,43000
International Academic School,25.186381,55.403486,American,KG1-G12,2006,1256,19007.64286,27467
International School of Creative Science Nad Alshiba L.L.C,25.07999992,55.22460175,UK,FS1-Y12,2016,1686,47600,64000
Iranian Khadije Kobra School,25.252825,55.307217,Iranian,KG1-G12,2000,325,4611.714286,7926
Iranian Salman Farsi Boys School,25.280592,55.370039,Iranian,G1-G12,2000,469,3235.916667,3945
Iranian Towheed Boys School,25.17411041,55.25699234,Iranian - International Baccalaureate,KG1-G12,2000,873,13165.39286,15185
Iranian Towheed Girls School,25.25298309,55.3068428,Iranian,KG2-G12,2000,224,10040.92857,14877
Islamic School for Training & Education,25.252208,55.416992,Ministry of Education,KG1-G12,1982,619,12606.14286,13210
Japanese School,25.192697,55.254131,Japanese,Pre-primary-G9,1980,171,34350,38400
JEBEL ALI SCHOOL (BR OF TAALEEM MANAGEMENT L L C),25.209117,55.282415,UK,FS1-Y13,1978,1977,68347.13333,99337
JSS International School L.L.C,25.06615639,55.20269012,Indian,Pre Primary-G12,2010,3001,26047.4,42695
JSS Private School L.L.C,25.191845,55.252894,Indian,Pre Primary-G12,2011,2083,16414.8,25769
Jumeira Baccalaureate School,25.218637,55.259723,International Baccalaureate,Pre Primary-G12,2010,1495,79452.6,94089
Jumeirah College,25.176394,55.235789,UK,Y7-Y13,2000,1309,85396.71429,96415
Jumeirah English Speaking School,25.179742,55.243147,UK,FS1-Y6,1976,750,58303.375,59728
Jumeirah English Speaking School (Br),25.056689,55.272661,UK - International Baccalaureate,FS1-G13,2005,1790,73982.4,100578
Kent College L.L.C - FZ,25.07185936,55.21253967,UK,FS1-Y13,2016,1304,83564.8,105533
Kings School Al Barsha L.L.C,25.100523,55.253677,UK,FS1-Y13,2014,3015,80321.26667,112446
Kings School Dubai L.L.C,25.135958,55.196242,UK,FS1-Y6,2004,1144,58124.5,70152
Kings School Nad Al Sheba L.L.C,25.152161,55.379977,UK,FS1-Y10,2014,1060,73316.92308,94400
Little Flower English School,25.282439,55.336397,Indian,KG1-G6,1984,928,3821.75,4040
Lycee Francais International,25.241403,55.312731,French,Pre Primary-G12,2005,2992,40542.66667,60931
Lycee Francais International Georges Pompidou School (Dubai Branch),25.104978,55.395858,French,G1-G12,1998,1997,42621.66667,49536
Lycee Francais International Georges Pompidou School Oud Metha,25.233711,55.316025,French,Pre Primary-KG2,1998,365,30558,30558
Lycee Francais Jean Mermoz L.L.C,25.17499924,55.25167084,French,Pre Primary-G10,2017,1408,51716.21429,63150
Lycee Francais Jean Mermoz South L.L.C,,,French,Pre Primary-G12,2024,,58266.66667,74000
Lycee Libanais Francophone Prive Meydan L.L.C - FZ,25.12789917,55.35214996,French,Pre-primary-G12,2021,1309,49111.2,67716
M S B Private School,25.290983,55.378581,UK,FS1-Y13,1992,1281,14193.2,27045
Mirdif American School,25.237383,55.437061,American,Pre-primary-G8,1995,670,31706.58333,44000
Modern Skills School L.L.C,25.244356,55.41603088,American,KG1-G12,2006,1670,22166.07143,28893
National Charity School Primary,55.34181976,25.27388,Ministry of Education,G1-G4,2021,711,4774,5254
New Academy School,25.250636,55.284283,American,KG1-G12,1990,1353,14124.14286,24060
New Dawn Private School,25.27571786,55.41062327,UK,FS1 - Y6,2024,,23000,24000
New Indian Model School,25.237008,55.347017,Indian,KG1-G12,1980,7259,5552.571429,7591
Newlands School,25.17997932,55.39904022,UK,FS1-Y11,2017,1001,28879.57143,36936
Next Generation School L.L.C,25.09828949,55.18967056,American,Pre Primary-G10,2016,1223,37933.14286,46051
Nord Anglia International School L.L.C,25.061521,55.227338,UK - UK/IB,FS1-Y13,2014,2440,87183.8,102871
North American International School L.L.C,25.236083,55.432139,American,KG1-G12,2007,817,36122,47935
North London Collegiate School Middle East L.L.C - FZ,25.17856026,55.30667877,International Baccalaureate,Pre Primary-G12,2017,1549,114538.0667,140382
Oak Tree Primary School,25.14920044,55.2476387,UK,FS1-Y6,2016,609,20937.5,26420
Our Own High School - Dubai Branch,25.190892,55.400567,Indian,KG1-G12,2005,4657,10646.57143,15006
Oxford School,25.28122711,55.40219116,UK,FS1-Y13,1988,2186,14862.2,19666
